time,value
2023-11-11T01:33:57.69428788Z,31.5
2023-11-11T01:33:59.52021093Z,31.799999237060547
2023-11-11T01:34:47.550301291Z,32.29999923706055
2023-11-11T01:34:56.094319937Z,32.79999923706055
2023-11-11T01:35:09.598052197Z,33.20000076293945
2023-11-11T01:35:11.499100397Z,33.29999923706055
2023-11-11T01:35:23.615028028Z,33.20000076293945
2023-11-11T01:35:25.534014921Z,32.900001525878906
2023-11-11T01:35:27.542225003Z,32.79999923706055
2023-11-11T02:06:10.624331102Z,31.799999237060547
2023-11-11T02:09:33.285333727Z,31.899999618530273
2023-11-11T02:09:33.287161581Z,32.099998474121094
2023-11-11T02:09:33.288694929Z,32.20000076293945
2023-11-11T02:09:57.488675735Z,32.29999923706055
2023-11-11T02:24:55.601460682Z,32.400001525878906
2023-11-11T02:25:11.331044271Z,32.5
2023-11-11T02:25:11.33259732Z,32.599998474121094
2023-11-11T02:25:11.33389391Z,32.70000076293945
2023-11-11T02:25:11.335119753Z,32.79999923706055
2023-11-11T02:27:17.380281802Z,32.599998474121094
2023-11-11T02:27:17.381723944Z,32.400001525878906
2023-11-11T02:27:17.383062508Z,32.29999923706055
2023-11-11T02:34:29.393085074Z,32.400001525878906
2023-11-11T02:34:29.394414346Z,32.5
2023-11-11T02:34:29.395915347Z,32.599998474121094
2023-11-11T02:35:03.61093027Z,32.70000076293945
2023-11-11T02:35:03.612427421Z,32.79999923706055
2023-11-11T02:35:04.027890864Z,32.70000076293945
2023-11-11T02:35:04.029403912Z,32.599998474121094
2023-11-11T02:35:04.030772539Z,32.400001525878906
2023-11-11T02:35:04.46263855Z,32.29999923706055
2023-11-11T02:41:14.11830707Z,32.20000076293945
2023-11-11T02:41:16.223080778Z,31.799999237060547
2023-11-11T02:43:05.190111041Z,31.899999618530273
2023-11-11T02:43:05.191999766Z,32
2023-11-11T02:44:04.286070326Z,32.20000076293945
2023-11-11T02:44:16.616625084Z,32.29999923706055
2023-11-11T02:44:16.619813791Z,32
