time,value
2023-11-11T01:33:57.69428788Z,42.58653259277344
2023-11-11T01:33:59.52021093Z,43.64703369140625
2023-11-11T01:34:33.630069141Z,44.06230545043945
2023-11-11T01:34:35.551367542Z,44.48362731933594
2023-11-11T01:34:37.565979003Z,44.91099166870117
2023-11-11T01:34:39.566039632Z,45.344398498535156
2023-11-11T01:34:41.838108019Z,45.78385543823242
2023-11-11T01:34:43.598866427Z,46.2293586730957
2023-11-11T01:34:45.550088815Z,46.68090057373047
2023-11-11T01:34:47.550301291Z,48.77969741821289
2023-11-11T01:34:52.365974148Z,49.27850341796875
2023-11-11T01:34:56.094319937Z,51.49580764770508
2023-11-11T01:34:58.71805173Z,52.04365158081055
2023-11-11T01:35:01.902068987Z,51.49580764770508
2023-11-11T01:35:09.598052197Z,52.1827507019043
2023-11-11T01:35:11.499100397Z,52.630706787109375
2023-11-11T01:35:19.598139277Z,52.062137603759766
2023-11-11T01:35:23.615028028Z,51.62261199951172
2023-11-11T01:35:25.534014921Z,50.32201385498047
2023-11-11T01:35:27.542225003Z,49.374759674072266
2023-11-11T01:35:33.630187678Z,48.862083435058594
2023-11-11T01:35:44.798309444Z,48.3564338684082
2023-11-11T01:35:51.790599381Z,47.85782241821289
2023-11-11T01:35:59.646122076Z,47.366241455078125
2023-11-11T01:36:09.694124291Z,46.88169479370117
2023-11-11T02:06:10.624331102Z,43.23780059814453
2023-11-11T02:07:46.074584708Z,43.64703369140625
2023-11-11T02:09:33.285333727Z,44.00619888305664
2023-11-11T02:09:33.287161581Z,44.733036041259766
2023-11-11T02:09:33.288694929Z,45.1007080078125
2023-11-11T02:09:57.488675735Z,45.47121047973633
2023-11-11T02:09:57.48986738Z,45.02473068237305
2023-11-11T02:19:56.629603097Z,45.02473068237305
2023-11-11T02:20:00.087749501Z,45.47121047973633
2023-11-11T02:20:20.812014866Z,45.02473068237305
2023-11-11T02:21:46.819670424Z,45.02473068237305
2023-11-11T02:24:55.601460682Z,45.39052200317383
2023-11-11T02:25:11.331044271Z,45.75911331176758
2023-11-11T02:25:11.33259732Z,46.13050842285156
2023-11-11T02:25:11.33389391Z,46.50469970703125
2023-11-11T02:25:11.335119753Z,46.88169479370117
2023-11-11T02:27:17.380281802Z,46.13050842285156
2023-11-11T02:27:17.381723944Z,45.39052200317383
2023-11-11T02:27:17.383062508Z,45.02473068237305
2023-11-11T02:32:13.294878666Z,45.47121047973633
2023-11-11T02:33:16.856598877Z,45.02473068237305
2023-11-11T02:33:41.735096992Z,45.47121047973633
2023-11-11T02:33:45.656861867Z,45.02473068237305
2023-11-11T02:34:29.393085074Z,45.39052200317383
2023-11-11T02:34:29.394414346Z,45.75911331176758
2023-11-11T02:34:29.395915347Z,46.13050842285156
2023-11-11T02:35:03.61093027Z,46.50469970703125
2023-11-11T02:35:03.612427421Z,46.88169479370117
2023-11-11T02:35:04.027890864Z,46.50469970703125
2023-11-11T02:35:04.029403912Z,46.13050842285156
2023-11-11T02:35:04.030772539Z,45.39052200317383
2023-11-11T02:35:04.46263855Z,45.02473068237305
2023-11-11T02:36:24.407654271Z,45.47121047973633
2023-11-11T02:36:38.317170969Z,45.92422866821289
2023-11-11T02:36:43.793773827Z,45.47121047973633
2023-11-11T02:38:29.975310213Z,45.02473068237305
2023-11-11T02:40:49.832489284Z,45.47121047973633
2023-11-11T02:41:14.11830707Z,45.1007080078125
2023-11-11T02:41:16.223080778Z,43.64703369140625
2023-11-11T02:41:52.219796684Z,44.06230545043945
2023-11-11T02:42:15.5760632Z,44.48362731933594
2023-11-11T02:43:03.197317835Z,44.91099166870117
2023-11-11T02:43:05.190111041Z,44.85786056518555
2023-11-11T02:43:05.191999766Z,45.2349967956543
2023-11-11T02:44:04.286070326Z,45.997955322265625
2023-11-11T02:44:16.616625084Z,46.3837890625
2023-11-11T02:44:16.618124865Z,45.92422866821289
2023-11-11T02:44:16.619813791Z,44.7984733581543
